"genes"	"cluster"	"ref"	"rank"	"scores"	"logfoldchanges"	"pvals"	"pvals_adj"	"gene_names"	"asct_cell_types"
"ENSG00000010610"	"paneth-like cell"	"rest"	13951	-0.49605948	-19.058975	0.620017105484218	0.849184535386048	"CD4"	"CD4+ T"
"ENSG00000010610"	"intestinal crypt transit amplifying cell"	"rest"	15424	-0.64472675	-19.09411	0.519239694400625	0.703703985633677	"CD4"	"CD4+ T"
"ENSG00000010610"	"epithelial progenitor cell of small intestine"	"rest"	13917	-0.5614985	-19.073416	0.574607502900854	0.8277770630233	"CD4"	"CD4+ T"
"ENSG00000010610"	"paneth cell of epithelium of small intestine"	"rest"	10056	-0.18190366	-19.013603	0.856062916694403	0.977793588943296	"CD4"	"CD4+ T"
"ENSG00000010610"	"intestinal crypt stem cell"	"rest"	13758	-0.49450547	-19.058651	0.621114308100068	0.821638068310599	"CD4"	"CD4+ T"
"ENSG00000010610"	"large intestine goblet cell"	"rest"	10808	-0.8032343	-19.140335	0.421955573954989	0.640372799934856	"CD4"	"CD4+ T"
"ENSG00000010610"	"nan"	"rest"	572	2.577185	21.140985	0.00999447396328339	0.0185087190746385	"CD4"	"CD4+ T"
"ENSG00000010610"	"enterocyte of epithelium of small intestine"	"rest"	8751	-1.3775581	-19.369402	0.168414531482071	0.22756189741066	"CD4"	"CD4+ T"
"ENSG00000010610"	"enterocyte of epithelium of large intestine"	"rest"	11399	-0.7528327	-19.124704	0.451671971965921	0.659548666092108	"CD4"	"CD4+ T"
"ENSG00000010610"	"epithelial progenitor cell of large intestine"	"rest"	15299	-1.2008817	-19.290232	0.229883030723466	0.333027338967827	"CD4"	"CD4+ T"
"ENSG00000010610"	"intestinal enteroendocrine cell"	"rest"	12410	-0.2122225	-19.016186	0.832281900982605	0.955471472991073	"CD4"	"CD4+ T"
"ENSG00000010610"	"small intestine goblet cell"	"rest"	11889	-0.33368963	-19.030441	0.738843080652883	0.958356252231524	"CD4"	"CD4+ T"
"ENSG00000016602"	"enterocyte of epithelium of small intestine"	"rest"	17636	-12.827	-3.151703	5.00372506605775e-37	3.9803026585057e-36	"CLCA4"	"goblet"
"ENSG00000016602"	"paneth-like cell"	"rest"	2117	3.898139	1.140988	0.000101807020853907	0.000733505848463197	"CLCA4"	"goblet"
"ENSG00000016602"	"large intestine goblet cell"	"rest"	17754	-6.3231726	-2.156447	3.13279098144878e-10	3.23624990977347e-09	"CLCA4"	"goblet"
"ENSG00000016602"	"enterocyte of epithelium of large intestine"	"rest"	113	17.877222	3.6634467	5.94764912746033e-66	4.62064085492369e-64	"CLCA4"	"goblet"
"ENSG00000016602"	"nan"	"rest"	72	6.923036	1.0722432	4.81325138930911e-12	1.96892519067207e-11	"CLCA4"	"goblet"
"ENSG00000016602"	"intestinal enteroendocrine cell"	"rest"	17356	-1.225788	-1.3068036	0.221858481649744	0.71518915646253	"CLCA4"	"goblet"
"ENSG00000016602"	"intestinal crypt transit amplifying cell"	"rest"	18544	-6.395401	-3.4944553	2.33755683814909e-10	1.42845671901851e-09	"CLCA4"	"goblet"
"ENSG00000016602"	"intestinal crypt stem cell"	"rest"	18283	-5.046846	-3.877174	5.78102462597727e-07	6.35644447853974e-06	"CLCA4"	"goblet"
"ENSG00000016602"	"paneth cell of epithelium of small intestine"	"rest"	18644	-2.0161893	-26.62049	0.0467286709628983	0.861662146666052	"CLCA4"	"goblet"
"ENSG00000016602"	"epithelial progenitor cell of large intestine"	"rest"	18469	-10.637486	-2.6977963	4.85413037032067e-26	3.9272255783098e-25	"CLCA4"	"goblet"
"ENSG00000016602"	"epithelial progenitor cell of small intestine"	"rest"	18743	-6.1888056	-7.543335	9.45762200434428e-10	2.02803939722116e-08	"CLCA4"	"goblet"
"ENSG00000016602"	"small intestine goblet cell"	"rest"	18729	-3.5490296	-4.8682837	0.000446470357945597	0.014926441102675	"CLCA4"	"goblet"
"ENSG00000023445"	"epithelial progenitor cell of large intestine"	"rest"	18873	-27.865442	-2.458799	1.43837483714779e-156	8.31275408932118e-155	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"intestinal enteroendocrine cell"	"rest"	18798	-4.0157413	-1.813864	8.57351244037101e-05	0.00293356501479554	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"nan"	"rest"	15266	-8.085849	-0.5730428	7.03070699117094e-16	3.55967098623495e-15	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"enterocyte of epithelium of large intestine"	"rest"	18544	-9.4192095	-1.1104175	9.97107595988297e-21	1.99589985106168e-19	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"small intestine goblet cell"	"rest"	18698	-3.3343506	-0.8311707	0.000913412535309453	0.0268444155338387	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"paneth-like cell"	"rest"	18668	-5.820107	-0.965168	7.78040823819494e-09	1.07262122591435e-07	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"intestinal crypt stem cell"	"rest"	18863	-11.523797	-2.3663888	1.55042373107718e-28	9.73173253188708e-27	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"epithelial progenitor cell of small intestine"	"rest"	15521	-0.9017666	-0.11796476	0.367324623017476	0.685651026325068	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"paneth cell of epithelium of small intestine"	"rest"	158	4.0574594	1.3584188	7.35838362981949e-05	0.00746111523193838	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"intestinal crypt transit amplifying cell"	"rest"	18844	-11.85676	-1.6597877	5.04089422713078e-31	8.63190523662973e-30	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"enterocyte of epithelium of small intestine"	"rest"	103	64.9017	3.317124	0	0	"BIRC3"	"epithelial stem cells"
"ENSG00000023445"	"large intestine goblet cell"	"rest"	18883	-22.536848	-3.6095164	7.73966781901656e-100	1.07877311159763e-97	"BIRC3"	"epithelial stem cells"
"ENSG00000074416"	"epithelial progenitor cell of small intestine"	"rest"	18609	-4.588725	-0.5129927	4.84556695951206e-06	6.0775648706935e-05	"MGLL"	"CD8+ T"
"ENSG00000074416"	"epithelial progenitor cell of large intestine"	"rest"	16920	-2.7085648	-0.14691333	0.00677744395475328	0.0139690363821141	"MGLL"	"CD8+ T"
"ENSG00000074416"	"intestinal enteroendocrine cell"	"rest"	6966	0.6703873	0.1926591	0.503235664569635	0.949471012001792	"MGLL"	"CD8+ T"
"ENSG00000074416"	"paneth cell of epithelium of small intestine"	"rest"	13001	-0.37514237	-0.13240582	0.70799403219363	0.977793588943296	"MGLL"	"CD8+ T"
"ENSG00000074416"	"paneth-like cell"	"rest"	7791	0.7628036	0.09135152	0.445721548539031	0.745403767895073	"MGLL"	"CD8+ T"
"ENSG00000074416"	"enterocyte of epithelium of small intestine"	"rest"	16973	-10.291614	-0.5530289	1.10210655689243e-24	6.37131195256261e-24	"MGLL"	"CD8+ T"
"ENSG00000074416"	"enterocyte of epithelium of large intestine"	"rest"	45	24.410463	1.7270298	1.18135642896592e-119	2.76466573672566e-117	"MGLL"	"CD8+ T"
"ENSG00000074416"	"small intestine goblet cell"	"rest"	77	6.5758533	1.0944359	1.05047126961445e-10	1.73154203363578e-08	"MGLL"	"CD8+ T"
"ENSG00000074416"	"intestinal crypt stem cell"	"rest"	18653	-7.816701	-1.0393956	1.40261903339412e-14	3.73952832588171e-13	"MGLL"	"CD8+ T"
"ENSG00000074416"	"large intestine goblet cell"	"rest"	615	6.397086	0.50540257	1.80907219707216e-10	1.91365918346539e-09	"MGLL"	"CD8+ T"
