"genes"	"cluster"	"ref"	"rank"	"scores"	"logfoldchanges"	"pvals"	"pvals_adj"	"gene_names"	"asct_cell_types"
"ENSG00000010610"	"CD4-positive, alpha-beta T cell"	"rest"	423	9.9941	1.5425429	3.3705740251642e-23	5.73843753489252e-22	"CD4"	"CD4+ T"
"ENSG00000010610"	"myeloid cell"	"rest"	161	30.02191	3.2356753	9.46705565320683e-176	1.43558196718877e-173	"CD4"	"CD4+ T"
"ENSG00000010610"	"consensus molecular subtype 3 epithelial cell"	"rest"	24144	-6.6844497	-4.8297806	4.44160446621958e-11	5.66844388072581e-10	"CD4"	"CD4+ T"
"ENSG00000010610"	"enterocyte of epithelium of large intestine"	"rest"	23292	-2.9202547	-2.8847132	0.00379753362146647	0.0386143214637577	"CD4"	"CD4+ T"
"ENSG00000010610"	"T follicular helper cell"	"rest"	277	7.0066595	2.476868	1.06186756795867e-11	7.16144607849252e-10	"CD4"	"CD4+ T"
"ENSG00000010610"	"endothelial tip cell"	"rest"	24089	-6.8291626	-4.8981495	1.68838490122577e-11	2.53819143956441e-10	"CD4"	"CD4+ T"
"ENSG00000010610"	"conventional dendritic cell"	"rest"	124	10.317991	3.2331557	3.23628021672154e-21	6.58421210091997e-19	"CD4"	"CD4+ T"
"ENSG00000010610"	"T-helper 17 cell"	"rest"	423	5.929213	2.0344267	5.66276690385823e-09	2.27386169721702e-07	"CD4"	"CD4+ T"
"ENSG00000010610"	"glial cell"	"rest"	23676	-5.0115557	-4.452599	7.45049322948563e-07	1.11387839378238e-05	"CD4"	"CD4+ T"
"ENSG00000010610"	"pericyte"	"rest"	22819	-2.1777182	-1.1275749	0.0298381834417533	0.149398976732355	"CD4"	"CD4+ T"
"ENSG00000010610"	"nan"	"rest"	20843	-12.156961	-0.5414937	5.70809748036474e-34	3.42233526241711e-33	"CD4"	"CD4+ T"
"ENSG00000010610"	"natural killer cell"	"rest"	23926	-4.1812778	-26.579073	3.93394347369044e-05	0.00102830081334774	"CD4"	"CD4+ T"
"ENSG00000010610"	"gamma-delta T cell"	"rest"	23726	-3.1248825	-26.576107	0.00213846034492714	0.0412388395426944	"CD4"	"CD4+ T"
"ENSG00000010610"	"myofibroblast"	"rest"	23995	-7.1372147	-3.1439512	1.65388789286692e-12	1.64606681681423e-11	"CD4"	"CD4+ T"
"ENSG00000010610"	"T cell"	"rest"	722	4.024983	1.5528655	6.62230679182697e-05	0.00132848806915089	"CD4"	"CD4+ T"
"ENSG00000010610"	"epithelial cell of large intestine"	"rest"	24121	-14.613121	-5.4088874	6.00463991005684e-47	8.91710941387638e-46	"CD4"	"CD4+ T"
"ENSG00000010610"	"endothelial cell of lymphatic vessel"	"rest"	23972	-2.7233427	-26.575203	0.00748882593699166	0.121241509566124	"CD4"	"CD4+ T"
"ENSG00000010610"	"CD8-positive, alpha-beta T cell"	"rest"	23155	-6.9192405	-2.501986	6.24301068292841e-12	7.92187436658078e-11	"CD4"	"CD4+ T"
"ENSG00000010610"	"mast cell"	"rest"	19981	-1.6833023	-1.1043885	0.0931122789881	0.40753500049069	"CD4"	"CD4+ T"
"ENSG00000010610"	"endothelial stalk cell"	"rest"	24050	-5.3394966	-5.6184583	1.4630867307644e-07	2.28973073364628e-06	"CD4"	"CD4+ T"
"ENSG00000010610"	"consensus molecular subtype 1 epithelial cell"	"rest"	24107	-6.3470297	-4.150703	3.82144895089818e-10	5.21211478699599e-09	"CD4"	"CD4+ T"
"ENSG00000010610"	"brush cell of epithelium proper of large intestine"	"rest"	22312	-1.2995684	-26.572996	0.2056054381843	0.98839978386086	"CD4"	"CD4+ T"
"ENSG00000010610"	"B cell"	"rest"	22941	-8.341773	-2.5016003	1.1860331010663e-16	1.36519623429668e-15	"CD4"	"CD4+ T"
"ENSG00000010610"	"goblet cell"	"rest"	23790	-2.928092	-3.7459965	0.00383827956153011	0.0655299001504868	"CD4"	"CD4+ T"
"ENSG00000010610"	"smooth muscle cell of large intestine"	"rest"	23107	-3.5674558	-1.650034	0.000381325958351705	0.0027454119572983	"CD4"	"CD4+ T"
"ENSG00000010610"	"IgA plasma cell"	"rest"	22625	-12.749366	-6.773913	4.24418011392583e-36	5.27315080414174e-35	"CD4"	"CD4+ T"
"ENSG00000010610"	"consensus molecular subtype 2 epithelial cell"	"rest"	23733	-6.1210055	-7.6197853	1.71638101459766e-09	3.85144541271941e-08	"CD4"	"CD4+ T"
"ENSG00000010610"	"stromal cell"	"rest"	23052	-7.225067	-1.2714418	5.72542895175456e-13	2.90302434949399e-12	"CD4"	"CD4+ T"
"ENSG00000010610"	"plasma cell"	"rest"	18186	-1.4454777	-2.8329117	0.154325992260121	0.599159348232715	"CD4"	"CD4+ T"
"ENSG00000010610"	"regulatory T cell"	"rest"	217	14.022364	2.5505793	3.23493673647378e-42	2.8511821474466e-40	"CD4"	"CD4+ T"
"ENSG00000016602"	"IgA plasma cell"	"rest"	14950	-4.7990103	-2.1088355	1.67913260005578e-06	4.12293505961599e-06	"CLCA4"	"goblet"
"ENSG00000016602"	"brush cell of epithelium proper of large intestine"	"rest"	3368	0.32817993	0.842737	0.744176665011175	0.98839978386086	"CLCA4"	"goblet"
"ENSG00000016602"	"regulatory T cell"	"rest"	22174	-4.3291235	-25.455656	1.6337314976011e-05	0.000108385654300091	"CLCA4"	"goblet"
"ENSG00000016602"	"endothelial stalk cell"	"rest"	22911	-2.7794511	-25.43979	0.00566964292157596	0.0312386960702675	"CLCA4"	"goblet"
"ENSG00000016602"	"endothelial cell of lymphatic vessel"	"rest"	22317	-1.3826582	-25.431349	0.16949607281777	0.812831318526926	"CLCA4"	"goblet"
"ENSG00000016602"	"B cell"	"rest"	21478	-5.6690617	-25.47472	1.66116207846974e-08	1.00509568732987e-07	"CLCA4"	"goblet"
"ENSG00000016602"	"plasma cell"	"rest"	13894	-0.88729095	-25.429708	0.379538070667128	0.866867316029155	"CLCA4"	"goblet"
"ENSG00000016602"	"consensus molecular subtype 2 epithelial cell"	"rest"	21124	-3.0350182	-5.316361	0.0025121954286831	0.0138074604223029	"CLCA4"	"goblet"
"ENSG00000016602"	"smooth muscle cell of large intestine"	"rest"	22111	-2.5442271	-2.8997529	0.0111934194635279	0.0507670071995122	"CLCA4"	"goblet"
"ENSG00000016602"	"consensus molecular subtype 1 epithelial cell"	"rest"	22831	-3.0098774	-3.1253352	0.00270086029441122	0.0112064587402712	"CLCA4"	"goblet"
"ENSG00000016602"	"T-helper 17 cell"	"rest"	21692	-2.0077288	-3.3717852	0.0454624257875174	0.212462969309001	"CLCA4"	"goblet"
"ENSG00000016602"	"myofibroblast"	"rest"	23201	-4.2420225	-25.454586	2.40965226582494e-05	0.000112851046264819	"CLCA4"	"goblet"
"ENSG00000016602"	"T follicular helper cell"	"rest"	21443	-2.086624	-25.4349	0.037904103611093	0.202581170219182	"CLCA4"	"goblet"
"ENSG00000016602"	"nan"	"rest"	113	24.570778	2.8732326	2.28817273226192e-132	5.00120403629746e-131	"CLCA4"	"goblet"
"ENSG00000016602"	"pericyte"	"rest"	23049	-2.4275196	-25.437136	0.0157077352601129	0.0905950032223946	"CLCA4"	"goblet"
"ENSG00000016602"	"enterocyte of epithelium of large intestine"	"rest"	416	6.1713624	3.9847736	2.79818479801205e-09	1.33427507145832e-07	"CLCA4"	"goblet"
"ENSG00000016602"	"glial cell"	"rest"	21268	-2.2515922	-2.79372	0.0247539376573832	0.103625280172729	"CLCA4"	"goblet"
"ENSG00000016602"	"CD8-positive, alpha-beta T cell"	"rest"	21334	-4.2012124	-3.473655	2.81825708926231e-05	0.000159160140127805	"CLCA4"	"goblet"
"ENSG00000016602"	"stromal cell"	"rest"	22614	-5.933979	-2.4895463	3.23331520176921e-09	1.30909050308447e-08	"CLCA4"	"goblet"
"ENSG00000016602"	"CD4-positive, alpha-beta T cell"	"rest"	21357	-5.9403076	-25.479166	3.33756917861404e-09	2.1071480198263e-08	"CLCA4"	"goblet"
"ENSG00000016602"	"consensus molecular subtype 3 epithelial cell"	"rest"	22953	-3.1108325	-3.1678574	0.00193344427186161	0.00778287031380532	"CLCA4"	"goblet"
"ENSG00000016602"	"mast cell"	"rest"	19941	-1.6740178	-3.0772555	0.095366329890897	0.412741283098096	"CLCA4"	"goblet"
"ENSG00000016602"	"epithelial cell of large intestine"	"rest"	23059	-7.1577477	-4.2235394	9.99270348862882e-13	4.83571581707401e-12	"CLCA4"	"goblet"
"ENSG00000016602"	"myeloid cell"	"rest"	20809	-4.247096	-1.8938814	2.22982012379246e-05	9.02500472517723e-05	"CLCA4"	"goblet"
"ENSG00000016602"	"T cell"	"rest"	21987	-2.1346319	-25.435196	0.0336916876085069	0.196546920256652	"CLCA4"	"goblet"
